actor_id,film_id
1,1
1,23
1,25
1,106
1,140
1,166
1,277
1,361
1,438
1,499
1,506
1,509
1,605
1,635
1,749
1,832
1,939
1,970
1,980
2,3
2,31
2,47
2,105
2,132
2,145
2,226
2,249
2,314
2,321
2,357
2,369
2,399
2,458
2,481
2,485
2,518
2,540
2,550
2,555
2,561
2,742
2,754
2,811
2,958
3,17
3,40
3,42
3,87
3,111
3,185
3,289
3,329
3,336
3,341
3,393
3,441
3,453
3,480
3,539
3,618
3,685
3,827
3,966
3,967
3,971
3,996
4,23
4,25
4,56
4,62
4,79
4,87
4,355
4,379
4,398
4,463
4,490
4,616
4,635
4,691
4,712
4,714
4,721
4,798
4,832
4,858
4,909
4,924
5,19
5,54
5,85
5,146
5,171
5,172
5,202
5,203
5,286
5,288
5,316
5,340
5,369
5,375
5,383
5,392
5,411
5,503
5,535
5,571
5,650
5,665
5,687
5,730
5,732
5,811
5,817
5,841
5,865
6,29
6,53
6,60
6,70
6,112
6,164
6,165
6,193
6,256
6,451
6,503
6,509
6,517
6,519
6,605
6,692
6,826
6,892
6,902
6,994
7,25
7,27
7,35
7,67
7,96
7,170
7,173
7,217
7,218
7,225
7,292
7,351
7,414
7,463
7,554
7,618
7,633
7,637
7,691
7,758
7,766
7,770
7,805
7,806
7,846
7,900
7,901
7,910
7,957
7,959
8,47
8,115
8,158
8,179
8,195
8,205
8,255
8,263
8,321
8,396
8,458
8,523
8,532
8,554
8,752
8,769
8,771
8,859
8,895
8,936
9,30
9,74
9,147
9,148
9,191
9,200
9,204
9,434
9,510
9,514
9,552
9,650
9,671
9,697
9,722
9,752
9,811
9,815
9,865
9,873
9,889
9,903
9,926
9,964
9,974
10,1
10,9
10,191
10,236
10,251
10,366
10,477
10,480
10,522
10,530
10,587
10,694
10,703
10,716
10,782
10,914
10,929
10,930
10,964
10,966
10,980
10,983
11,118
11,205
11,281
11,283
11,348
11,364
11,395
11,429
11,433
11,453
11,485
11,532
11,567
11,587
11,597
11,636
11,709
11,850
11,854
11,888
11,896
11,928
11,938
11,969
11,988
12,16
12,17
12,34
12,37
12,91
12,92
12,107
12,155
12,177
12,208
12,213
12,216
12,243
12,344
12,400
12,416
12,420
12,457
12,513
12,540
12,593
12,631
12,635
12,672
12,716
12,728
12,812
12,838
12,871
12,880
12,945
13,17
13,29
13,45
13,87
13,110
13,144
13,154
13,162
13,203
13,254
13,337
13,346
13,381
13,385
13,427
13,456
13,513
13,515
13,522
13,524
13,528
13,571
13,588
13,597
13,600
13,718
13,729
13,816
13,817
13,832
13,833
13,843
13,897
13,966
13,998
14,154
14,187
14,232
14,241
14,253
14,255
14,258
14,284
14,292
14,370
14,415
14,417
14,418
14,454
14,472
14,475
14,495
14,536
14,537
14,612
14,688
14,759
14,764
14,847
14,856
14,890
14,908
14,919
14,948
14,970
15,31
15,89
15,91
15,108
15,125
15,236
15,275
15,280
15,326
15,342
15,414
15,445
15,500
15,502
15,541
15,553
15,594
15,626
15,635
15,745
15,783
15,795
15,817
15,886
15,924
15,949
15,968
15,985
16,80
16,87
16,101
16,121
16,155
16,177
16,218
16,221
16,267
16,269
16,271
16,280
16,287
16,345
16,438
16,453
16,455
16,456
16,503
16,548
16,582
16,583
16,717
16,758
16,779
16,886
16,967
17,96
17,119
17,124
17,127
17,154
17,199
17,201
17,236
17,280
17,310
17,313
17,378
17,457
17,469
17,478
17,500
17,515
17,521
17,573
17,603
17,606
17,734
17,770
17,794
17,800
17,853
17,873
17,874
17,880
17,948
17,957
17,959
18,44
18,84
18,144
18,172
18,268
18,279
18,280
18,321
18,386
18,460
18,462
18,484
18,536
18,561
18,612
18,717
18,808
18,842
18,863
18,883
18,917
18,944
19,2
19,3
19,144
19,152
19,182
19,208
19,212
19,217
19,266
19,404
19,428
19,473
19,490
19,510
19,513
19,644
19,670
19,673
19,711
19,750
19,752
19,756
19,771
19,785
19,877
20,1
20,54
20,63
20,140
20,146
20,165
